Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting,HoloPleisto
210010,West Eifel Volcanic Field,Germany,Maar(s),Eruption Dated,8300 BCE,Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Foidite,Rift zone / Continental crust (>25 km),Holocene
210020,Chaine des Puys,France,Lava dome(s),Eruption Dated,4040 BCE,Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
210030,Olot Volcanic Field,Spain,Pyroclastic cone(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km),Holocene
210040,Calatrava Volcanic Field,Spain,Pyroclastic cone(s),Eruption Dated,3600 BCE,Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),Holocene
211003,Vulsini,Italy,Caldera,Eruption Observed,104 BCE,Mediterranean and Western Asia,Italy,42.6,11.93,800,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km),Holocene
211004,Colli Albani,Italy,Caldera,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,41.73,12.7,949,Foidite,Subduction zone / Continental crust (>25 km),Holocene
211010,Campi Flegrei,Italy,Caldera,Eruption Observed,1538 CE,Mediterranean and Western Asia,Italy,40.827,14.139,458,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km),Holocene
211020,Vesuvius,Italy,Stratovolcano,Eruption Observed,1944 CE,Mediterranean and Western Asia,Italy,40.821,14.426,1281,Phono-tephrite /  Tephri-phonolite,Subduction zone / Continental crust (>25 km),Holocene
211030,Ischia,Italy,Complex,Eruption Observed,1302 CE,Mediterranean and Western Asia,Italy,40.73,13.897,789,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km),Holocene
211031,Palinuro,Italy,Submarine,Eruption Dated,8040 BCE,Mediterranean and Western Asia,Italy,39.48,14.83,-70,Phonolite,Subduction zone / Continental crust (>25 km),Holocene
211040,Stromboli,Italy,Stratovolcano,Eruption Observed,2020 CE,Mediterranean and Western Asia,Italy,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km),Holocene
211041,Panarea,Italy,Stratovolcano,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,38.638,15.064,399,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
211042,Lipari,Italy,Stratovolcano(es),Eruption Dated,1230 CE,Mediterranean and Western Asia,Italy,38.49,14.933,590,Rhyolite,Subduction zone / Continental crust (>25 km),Holocene
211050,Vulcano,Italy,Stratovolcano(es),Eruption Observed,1890 CE,Mediterranean and Western Asia,Italy,38.404,14.962,500,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),Holocene
211060,Etna,Italy,Stratovolcano(es),Eruption Observed,2020 CE,Mediterranean and Western Asia,Italy,37.748,14.999,3295,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),Holocene
211070,Campi Flegrei del Mar di Sicilia,Italy,Submarine,Eruption Observed,1867 CE,Mediterranean and Western Asia,Italy,37.1,12.7,-8,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km),Holocene
211071,Pantelleria,Italy,Shield,Eruption Observed,1891 CE,Mediterranean and Western Asia,Italy,36.77,12.02,836,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
211080,Marsili,Italy,Submarine,Eruption Dated,1050 BCE,Mediterranean and Western Asia,Italy,39.284,14.399,-779,,,Holocene
212020,Methana,Greece,Lava dome(s),Eruption Observed,258 BCE,Mediterranean and Western Asia,Greece,37.615,23.336,760,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),Holocene
212030,Milos,Greece,Stratovolcano(es),Eruption Dated,140 CE,Mediterranean and Western Asia,Greece,36.699,24.439,751,Rhyolite,Subduction zone / Continental crust (>25 km),Holocene
212040,Santorini,Greece,Shield(s),Eruption Observed,1950 CE,Mediterranean and Western Asia,Greece,36.404,25.396,367,Dacite,Subduction zone / Continental crust (>25 km),Holocene
212050,Nisyros,Greece,Stratovolcano,Eruption Observed,1888 CE,Mediterranean and Western Asia,Greece,36.586,27.16,698,Dacite,Subduction zone / Continental crust (>25 km),Holocene
212051,Yali,Greece,Lava dome(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Greece,36.671,27.14,180,Rhyolite,Subduction zone / Continental crust (>25 km),Holocene
213000,Kula,Turkey,Pyroclastic cone(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.58,28.52,750,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km),Holocene
213001,Karapinar Field,Turkey,Pyroclastic cone(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,37.667,33.6,1302,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km),Holocene
